_geojson,flow,cost,type,fid,v/c
"{""type"":""Feature"",""properties"":{""flow"":665.5227416805856,""cost"":0,""type"":""pedestrian_path"",""fid"":34,""v/c"":0.22184091389352853},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2085429,-33.8612888,0],[151.2085153,-33.8612319,0],[151.2085884,-33.8609774,0],[151.2086379,-33.8606458,0],[151.2086774,-33.8604642,0],[151.2087192,-33.8602485,0],[151.2087916,-33.8597496,0],[151.2088412,-33.8593554,0],[151.20883073997925,-33.859282328919925,0]]}}",665.5227416805856,0,pedestrian_path,34,0.22184091389352853
"{""type"":""Feature"",""properties"":{""flow"":2298.1435472086096,""cost"":0,""type"":""pedestrian_path"",""fid"":35,""v/c"":0.7660478490695365},""geometry"":{""type"":""LineString"",""coordinates"":[[151.21056392521612,-33.86162614978489,0],[151.2104707,-33.861617,0],[151.210067,-33.86157989999999,0],[151.2096062,-33.86153860000001,0],[151.209551,-33.8615341,0]]}}",2298.1435472086096,0,pedestrian_path,35,0.7660478490695365
"{""type"":""Feature"",""properties"":{""flow"":0,""cost"":0,""type"":""pedestrian_path"",""fid"":36,""v/c"":0},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2095702,-33.8613841,0],[151.209563,-33.8614395,0],[151.209551,-33.8615341,0]]}}",0,0,pedestrian_path,36,0
"{""type"":""Feature"",""properties"":{""flow"":7895.653987585237,""cost"":0,""type"":""pedestrian_path"",""fid"":37,""v/c"":2.6318846625284125},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2106044,-33.861481,0],[151.210878,-33.8615034,0]]}}",7895.653987585237,0,pedestrian_path,37,2.6318846625284125
"{""type"":""Feature"",""properties"":{""flow"":24344.912789616217,""cost"":0,""type"":""pedestrian_path"",""fid"":38,""v/c"":8.114970929872072},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2084426,-33.8614076,0],[151.20832367036246,-33.86150567096216,0]]}}",24344.912789616217,0,pedestrian_path,38,8.114970929872072
"{""type"":""Feature"",""properties"":{""flow"":3308.6298865226104,""cost"":0,""type"":""pedestrian_path"",""fid"":39,""v/c"":1.1028766288408702},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2092379,-33.8614779,0],[151.2084426,-33.8614076,0]]}}",3308.6298865226104,0,pedestrian_path,39,1.1028766288408702
"{""type"":""Feature"",""properties"":{""flow"":2280.2613536359086,""cost"":0,""type"":""pedestrian_path"",""fid"":40,""v/c"":0.7600871178786361},""geometry"":{""type"":""LineString"",""coordinates"":[[151.209551,-33.8615341,0],[151.2092379,-33.8614779,0]]}}",2280.2613536359086,0,pedestrian_path,40,0.7600871178786361
"{""type"":""Feature"",""properties"":{""flow"":17.882193572700636,""cost"":0,""type"":""pedestrian_path"",""fid"":41,""v/c"":0.005960731190900212},""geometry"":{""type"":""LineString"",""coordinates"":[[151.209551,-33.8615341,0],[151.20954129386078,-33.86161606968263,0]]}}",17.882193572700636,0,pedestrian_path,41,0.005960731190900212
"{""type"":""Feature"",""properties"":{""flow"":125004.62653476647,""cost"":0,""type"":""pedestrian_path"",""fid"":42,""v/c"":41.668208844922155},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2023184,-33.8792987,0],[151.2023046,-33.8792669,0],[151.2022886,-33.8792307,0],[151.202257,-33.8791426,0]]}}",125004.62653476647,0,pedestrian_path,42,41.668208844922155
"{""type"":""Feature"",""properties"":{""flow"":16347.545697309042,""cost"":0,""type"":""pedestrian_path"",""fid"":43,""v/c"":5.449181899103014},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1990414,-33.8729716,0],[151.1990982,-33.8729453,0],[151.1991597,-33.8729092,0],[151.1992865,-33.8728549,0],[151.1994348,-33.8728512,0],[151.1997162,-33.872712,0]]}}",16347.545697309042,0,pedestrian_path,43,5.449181899103014
"{""type"":""Feature"",""properties"":{""flow"":6794.668131125984,""cost"":0,""type"":""pedestrian_path"",""fid"":44,""v/c"":2.2648893770419947},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1979996,-33.8699839,0],[151.1981329,-33.8700697,0]]}}",6794.668131125984,0,pedestrian_path,44,2.2648893770419947
"{""type"":""Feature"",""properties"":{""flow"":26916.9243442582,""cost"":0,""type"":""pedestrian_path"",""fid"":45,""v/c"":8.972308114752733},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1997162,-33.872712,0],[151.199906,-33.873005,0],[151.2002339,-33.8735111,0]]}}",26916.9243442582,0,pedestrian_path,45,8.972308114752733
"{""type"":""Feature"",""properties"":{""flow"":6794.668131125984,""cost"":0,""type"":""pedestrian_path"",""fid"":46,""v/c"":2.2648893770419947},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1986579,-33.870246,0],[151.19917931601523,-33.87033484938633,0]]}}",6794.668131125984,0,pedestrian_path,46,2.2648893770419947
"{""type"":""Feature"",""properties"":{""flow"":20847.1200429093,""cost"":0,""type"":""pedestrian_path"",""fid"":47,""v/c"":6.9490400143031},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2010176,-33.87557019999998,0],[151.2010556,-33.8756804,0],[151.2011027,-33.8758875,0],[151.2011873,-33.8761353,0],[151.2012421,-33.8762615,0],[151.2012808,-33.8763676,0]]}}",20847.1200429093,0,pedestrian_path,47,6.9490400143031
"{""type"":""Feature"",""properties"":{""flow"":6036.968319333613,""cost"":0,""type"":""pedestrian_path"",""fid"":48,""v/c"":2.0123227731112046},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20340897538512,-33.87596837254282,0],[151.2025569,-33.8758309,0],[151.2023031,-33.8757904,0]]}}",6036.968319333613,0,pedestrian_path,48,2.0123227731112046
